"Country","X0.4","X4.15","X15.64","X65."
"2128","Ireland",353000,669000,3057000,622000
"2142","Latvia",101000,201000,1307000,384000
"2156","Lithuania",151000,277000,1956000,548000
"2170","Norway",309000,625000,3418000,848000
"2184","Sweden",587000,1101000,6161000,1913000
"2198","United Kingdom",4043000,7457000,42046000,11851000
"2226","Albania",172000,355000,2030000,366000
"2240","Bosnia and Herzegovina",162000,350000,2468000,556000
"2254","Croatia",205000,423000,2808000,8e+05
"2268","Greece",504000,1128000,7348000,2238000
"2282","Italy",2554000,5614000,38029000,13307000
"2296","Malta",21000,40000,287000,79000
"2310","Montenegro",37000,79000,425000,87000
"2324","Portugal",442000,1024000,6791000,2161000
"2338","Serbia",468000,1007000,5933000,1443000
"2352","Slovenia",109000,196000,1395000,374000
"2366","Spain",2169000,4747000,30722000,8759000
"2380","TFYR Macedonia",116000,234000,1469000,260000
"2408","Austria",407000,818000,5818000,1635000
"2422","Belgium",645000,1274000,7321000,2048000
"2436","France",3874000,7900000,40477000,12207000
"2450","Germany",3518000,7201000,53734000,17255000
"2464","Luxembourg",31000,61000,395000,79000
"2478","Netherlands",891000,1947000,11065000,3035000
"2492","Switzerland",427000,803000,5592000,1497000
"2534","Antigua and Barbuda",8000,17000,69000,7000
"2548","Aruba",6000,14000,72000,13000
"2562","Bahamas",28000,52000,275000,32000
"2576","Barbados",17000,38000,189000,40000
"2590","Cuba",629000,1237000,8001000,1594000
"2604","Curaçao",10000,20000,104000,24000
"2618","Dominican Republic",1062000,2092000,6674000,7e+05
"2632","Grenada",10000,18000,71000,8000
"2646","Guadeloupe",27000,61000,289000,74000
"2660","Haiti",1238000,2377000,6601000,496000
"2674","Jamaica",207000,467000,1931000,267000
"2688","Martinique",20000,51000,246000,69000
"2702","Puerto Rico",204000,482000,2455000,533000
"2716","Saint Lucia",11000,24000,126000,17000
"2730","Saint Vincent and the Grenadines",9000,18000,75000,8000
"2744","Trinidad and Tobago",96000,187000,949000,128000
"2758","United States Virgin Islands",7000,14000,65000,18000
"2786","Belize",39000,77000,229000,14000
"2800","Costa Rica",350000,722000,3307000,428000
"2814","El Salvador",580000,1207000,4025000,501000
"2828","Guatemala",1994000,3894000,9631000,733000
"2842","Honduras",955000,2002000,5609000,396000
"2856","Mexico",11533000,23052000,83146000,8160000
"2870","Nicaragua",606000,1221000,3946000,309000
"2884","Panama",386000,720000,2564000,3e+05
"2912","Argentina",3718000,7221000,27734000,4744000
"2926","Bolivia (Plurinational State of)",1186000,2294000,6552000,693000
"2940","Brazil",14875000,31488000,143204000,16395000
"2954","Chile",1197000,2504000,12211000,1851000
"2968","Colombia",3738000,7975000,33121000,3395000
"2982","Ecuador",1610000,3075000,10377000,1082000
"2996","French Guiana",32000,59000,165000,13000
"3010","Guyana",75000,154000,501000,39000
"3024","Paraguay",674000,1327000,4239000,4e+05
"3038","Peru",3020000,5733000,20482000,2142000
"3052","Suriname",50000,99000,367000,37000
"3066","Uruguay",241000,494000,2201000,495000
"3080","Venezuela (Bolivarian Republic of)",2975000,5809000,20422000,1950000
"3108","Canada",1944000,3800000,24401000,5805000
"3122","United States of America",19851000,41617000,211623000,46839000
"3164","Australia",1545000,2938000,15752000,3564000
"3178","New Zealand",309000,613000,3017000,676000
"3206","Fiji",88000,168000,584000,52000
"3220","New Caledonia",21000,40000,181000,26000
"3234","Papua New Guinea",1025000,1875000,4731000,289000
"3248","Solomon Islands",83000,150000,335000,20000
"3262","Vanuatu",35000,62000,157000,11000
"3290","Guam",14000,28000,106000,14000
"3304","Kiribati",15000,25000,69000,4000
"3318","Micronesia (Fed. States of)",12000,24000,64000,5000
"3346","French Polynesia",22000,44000,191000,20000
"3360","Samoa",24000,48000,111000,10000
"3374","Tonga",13000,26000,61000,6000
