"contact_country_names","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"Albania",2.05166390242817,1.21650544579567,4.59785479838398,0.87116684478616,1.37467769502536,17.8804288317672,16.6246136012152,3.11910668309378,4.59762542980327,10.9576752255027,120.801018919511,12.3063358665647,0.240495356449402,0.501618680150673,2.62145440540224,3.3355683083601
"Algeria",2.54903417186492,1.75390731316414,5.80343429210711,0.626816731071698,2.23103290546318,23.8456965755821,19.6334632706112,2.22832067083335,6.60524425407936,12.1255351238797,101.859724607727,6.86629117653708,0.212850932324716,0.342584945191837,1.28900536404646,1.06886903316572
"Andorra",1.26460353696801,0.666273679814357,3.51880954227685,0.429801360175006,0.763273432536766,18.8460257487769,14.6358005608287,1.57367723118552,3.38757797207746,9.24787739222644,113.193336639364,10.0621636986062,0.168765640730276,0.364967305616647,2.85230102277249,3.05180210872859
"Antigua and Barbuda",2.52685174381512,1.83976112463515,6.13234758085663,0.938455055067471,2.2132030395157,26.7078431022037,20.5190069806413,3.34008900197475,6.66437319198918,13.4331325102289,130.933976071157,8.94494466122846,0.232699813364977,0.414214409469366,1.52752909042289,1.33506374745177
"Argentina",3.72924769862658,1.78818199336021,6.09295931461629,1.1590880705885,2.12864269045018,18.6576055776035,17.7925800440621,4.11712681686941,6.32278774165234,11.4419369280023,118.261241047221,12.7649874715869,0.29841741568866,0.503215957111283,2.22160179046123,2.58130995974361
"Armenia",1.79367981165654,0.963892655097879,4.82536010689665,0.842287709148704,1.307931215389,17.0029232971449,16.4620306196128,3.26993420760353,5.35876997979781,9.4593386386298,131.864669969512,11.8658147929518,0.239486019095882,0.371303674356192,2.359162620001,2.81633749896031
"Australia",2.60336697513677,1.23507908942917,4.73739505459266,0.748061735735924,1.50622357912846,16.2437779092644,15.2113684833299,2.63281573333463,5.24765719402555,9.61528861139,123.057625597233,11.6761651958171,0.276131690055797,0.431387374099578,2.77829336646518,3.99236030620052
"Austria",1.32717970404144,0.656888773113308,3.21884912485258,0.610878105171825,0.833005631538582,16.3024739422567,14.1105806321662,2.21563745512973,3.6252015999446,8.47123425208777,126.360500402973,13.3832542062125,0.246641884520578,0.434176607783797,3.49879119957061,5.45822508380623
"Azerbaijan",2.03918299823191,1.35037281337378,5.76095547804325,0.678198258411661,1.69412767308391,17.8803508423065,18.961066293737,2.53869974982344,5.89662080658957,11.2304762357673,139.499807480629,8.10943541047411,0.180697447136728,0.311758116052261,1.55999340128136,1.29934629990059
"Bahamas",2.31893484406558,1.48320578282913,5.18362637332119,0.600877964241816,1.836001465099,23.4162348768323,19.9076905277635,2.18517798547302,6.19734464049847,12.6663010841334,131.150957126148,7.49740843843643,0.21400802491695,0.360648866009613,1.68381063645912,1.53275478961819
"Bahrain",3.11536954504194,1.43203867805501,6.07473642749585,0.192971635577175,1.77473683287153,16.9918847546222,16.4578889034092,0.76130619928633,7.00233304177947,11.3087165709759,138.768743584264,2.78785560787791,0.0963020281670424,0.17279918527153,0.936535611372239,0.486229030957111
"Bangladesh",2.176871132356,2.12893510626676,5.978497049305,1.01239190161041,2.53587314041969,34.4462553166454,21.7147251699889,2.96675475007293,6.65647537941749,14.7851481855867,107.963920011309,9.32553419184506,0.224793939266534,0.439590459529756,1.37701766664087,0.568004881616199
"Belarus",3.54300115869088,0.958657159677997,4.38155795854082,0.63659055538638,1.25564398868351,11.1295946588132,12.5474606264566,2.36704417866742,5.24140115906519,7.98936128582143,126.130293411237,11.7285840445439,0.233963003664052,0.340200001724894,2.90269841015573,3.93292330733344
"Belgium",3.43335476695624,1.2197510412372,3.25251032197494,0.063574622527914,1.20937092879594,16.0349043618972,7.81039931458021,0.570215973257809,5.05746563111776,10.2540888551963,116.199867724806,8.90559617186655,0.287048884555515,0.433043529113101,4.43320416524274,5.84926797754919
"Belize",4.19942078911269,3.34778993359955,6.45292747596183,0.90175126922014,3.71416718950721,38.7100452842503,23.0760448658404,3.21382381386043,7.60486880612566,16.7782374993021,114.1868830332,6.88317550115198,0.246016578450006,0.507988023666274,1.14248454485641,0.867114509230243
"Benin",6.80357876008181,4.27752857567594,8.10200872768799,0.784290809833978,5.15153879613935,46.8658432846941,26.1330552018224,3.02993623012016,9.01025439131509,15.2071520632494,125.955116928546,4.71511424793258,0.238710296476246,0.377860212104936,0.910250940463268,0.442343657438229
"Bhutan",3.21893579494849,2.07490830538693,7.30258034910482,0.804982367555707,2.59945741056327,26.5102326328173,22.1240034473057,3.20893015838295,7.4732182677459,12.4053258062616,132.472911760895,7.21171884936557,0.225874812432419,0.33699072535989,1.25637606762215,0.930096384000768
"Bolivia (Plurinational State of",4.20425306042427,2.86217976965948,5.83122737061218,0.426566183057774,3.40410101139312,29.424039210319,21.1179777104388,1.52824312661771,7.0829108848007,13.4115737500082,125.285161330082,5.23213455526111,0.229319233629487,0.376692880650192,1.12989319176501,0.959185932534795
"Bosnia and Herzegovina",1.1250668815464,0.792055342238803,3.47832163031783,0.923449207617163,0.857249883679179,20.0212990824346,15.5856212563043,3.65267582737457,3.52072302904507,10.7314805217786,95.1432120175069,15.6681026579596,0.240141540552773,0.618559573986082,3.4674357734471,5.62481767050101
"Botswana",3.56500092777766,2.57922687839754,6.46073957290278,1.1172791452411,3.06371544727009,33.0905522337658,20.8416643638012,4.16373535483867,7.69922974703995,14.3931542343049,113.198752106698,9.80080277910284,0.257008634085073,0.476869547744385,1.22893247993758,1.34422423909719
