"countryID","N","propn_age1","propn_age2","propn_age3","propn_age4"
"Albania",2923000,0.0588436537803626,0.121450564488539,0.694491960314745,0.125213821416353
"Algeria",39872000,0.116974317817014,0.169567616372392,0.654770264847512,0.0586878009630819
"Argentina",43418000,0.085632686904049,0.166313510525588,0.638767331521489,0.10926343912663
"Armenia",2917000,0.0706205005142269,0.127871100445663,0.692492286595818,0.109016112444292
"Australia",23800000,0.0649159663865546,0.12344537815126,0.661848739495798,0.149747899159664
"Austria",8679000,0.0468948035487959,0.094250489687752,0.670353727387948,0.188385758727964
"Azerbaijan",9617000,0.0900488717895394,0.139024643859832,0.713528127274618,0.0573983570760112
"Bahamas",387000,0.0723514211886305,0.134366925064599,0.710594315245478,0.082687338501292
"Bangladesh",161201000,0.0946272045458775,0.199589332572379,0.655399160054838,0.0503843028269055
"Belarus",9486000,0.0607210626185958,0.10067467847354,0.695235083280624,0.14336917562724
"Belgium",11288000,0.057140326009922,0.112863217576187,0.648564847625797,0.181431608788094
"Benin",10576000,0.164428895612708,0.265979576399395,0.537348714069592,0.0322428139183056
"Bolivia",10725000,0.110582750582751,0.213892773892774,0.610909090909091,0.0646153846153846
"Bosnia_Herzegovina",3536000,0.045814479638009,0.0989819004524887,0.697963800904977,0.157239819004525
"Botswana",2209000,0.115889542779538,0.202354006337709,0.645088275237664,0.0371208691715708
"Brazil",205962000,0.0722220603800701,0.15288257057127,0.695293306532273,0.0796020625163865
"Bulgaria",7177000,0.0468162184756862,0.0933537689842553,0.659189076215689,0.200780270307928
"Burkina_Faso",18111000,0.174534813097013,0.281155099111037,0.520181105405555,0.0240737673237259
"Cape_Verde",533000,0.103189493433396,0.208255159474672,0.643527204502814,0.0450281425891182
"Cambodia",15518000,0.113738883876788,0.202281221806934,0.642801907462302,0.041177986853976
"Cameroon",22835000,0.163871250273703,0.266520691920298,0.537989927742501,0.031618130063499
"Canada",35950000,0.0540751043115438,0.105702364394993,0.67874826147427,0.161474269819193
"Chile",17763000,0.0673872656645837,0.140967178967517,0.687440184653493,0.104205370714406
"China",1397029000,0.0614768913172168,0.11537913672515,0.726382201085303,0.0967617708723298
"Hong_Kong",7246000,0.0379519735026221,0.0738338393596467,0.735992271598123,0.152221915539608
"Taiwan",23486000,0.0436004428169974,0.094056033381589,0.739717278378609,0.122583666865367
"Colombia",48229000,0.0775052354392585,0.165356942918161,0.68674448982977,0.0703933318128097
"Republic_of_Congo",4996000,0.16293034427542,0.261409127301841,0.542033626901521,0.033626901521217
"Costa_Rica",4808000,0.0727953410981697,0.150166389351082,0.687811980033278,0.089018302828619
"Denmark",5689000,0.0518544559676569,0.116540692564598,0.641061698013711,0.190543153454034
"Dominican_Republic",10528000,0.100873860182371,0.19870820668693,0.633928571428571,0.0664893617021277
"Ecuador",16144000,0.0997274529236868,0.190473240832507,0.642777502477701,0.0670218037661051
"Egypt",93778000,0.131949924289279,0.199417773891531,0.618002090042441,0.0506302117767493
"Estonia",1315000,0.0539923954372624,0.10722433460076,0.650950570342205,0.188593155893536
"Ethiopia",99873000,0.149199483343847,0.266908974397485,0.549087340922972,0.0348042013356963
"Fiji",892000,0.0986547085201794,0.188340807174888,0.654708520179372,0.0582959641255605
"Finland",5482000,0.0547245530828165,0.109084275811748,0.633527909522072,0.202663261583364
"France",64457000,0.0601020835595824,0.122562328373955,0.627969033619312,0.189382068665932
"Georgia",3952000,0.069585020242915,0.117408906882591,0.666751012145749,0.146255060728745
"Germany",81708000,0.0430557595339502,0.0881309051745239,0.657634503353405,0.211178831938121
"Ghana",27583000,0.145850705144473,0.242105644781206,0.578182213682341,0.0338614363919806
"Greece",11218000,0.044927794615796,0.100552683187734,0.655018719914423,0.199500802282047
"Guatemala",16252000,0.122692591681024,0.239601279842481,0.592603987201575,0.04510214127492
"Guinea",12092000,0.161180946080053,0.26529937148528,0.542920939464108,0.0305160436652332
"Guyana",769000,0.0975292587776333,0.200260078023407,0.65149544863459,0.0507152145643693
"Haiti",10711000,0.115582111847633,0.221921389226029,0.616282326580151,0.0463075343105219
"Honduras",8961000,0.106572927128669,0.223412565561879,0.625934605512778,0.0441914964847673
"Hungary",9784000,0.0456868356500409,0.0987326246933769,0.680600981193786,0.174979558462796
"Iceland",330000,0.0696969696969697,0.133333333333333,0.660606060606061,0.136363636363636
"India",1309054000,0.0927501844843681,0.193826992622153,0.657060747684969,0.0563620752085094
"Indonesia",258162000,0.0952580162843486,0.183326748320822,0.670462732702721,0.0509525026921081
"Iran",79360000,0.0869329637096774,0.149382560483871,0.713331653225806,0.0503528225806452
"Iraq",36116000,0.155138996566619,0.251467493631631,0.562659209214752,0.0307343005869975
"Ireland",4700000,0.0751063829787234,0.142340425531915,0.650425531914894,0.132340425531915
"Israel",8065000,0.10291382517049,0.175697458152511,0.609175449473032,0.112213267203968
"Italy",59504000,0.042921484269965,0.0943465985479968,0.639099892444205,0.223632024737833
"Jamaica",2872000,0.072075208913649,0.162604456824513,0.672353760445682,0.092966573816156
"Japan",127975000,0.0421644852510256,0.0877515139675718,0.609931627270951,0.260152373510451
"Jordan",9159000,0.131237034610765,0.229064308330604,0.602139971612621,0.0376678676711431
"Kazakhstan",17750000,0.112169014084507,0.155605633802817,0.664676056338028,0.0675492957746479
"Kenya",47236000,0.148128546024219,0.265327292742823,0.560758743331357,0.0258065881954442
"Kyrgyzstan",5865000,0.127536231884058,0.183461210571185,0.646206308610401,0.0427962489343564
"Latvia",1993000,0.0506773707977923,0.100852985449072,0.655795283492223,0.192674360260913
