"country","dose_per_1000"
"Albania",1e-06
"Algeria",1e-06
"Argentina",1e-06
"Armenia",1e-06
"Australia",1e-06
"Austria",1e-06
"Azerbaijan",1e-06
"Bahamas",1e-06
"Bangladesh",1e-06
"Belarus",1e-06
"Belgium",1e-06
"Benin",1e-06
"Bolivia",1e-06
"Botswana",1e-06
"Brazil",1e-06
"Bulgaria",1e-06
"Burkina_Faso",1e-06
"Cambodia",1e-06
"Cameroon",1e-06
"Canada",1e-06
"Cape_Verde",1e-06
"Chile",1e-06
"China",1000
"Colombia",1e-06
"Costa_Rica",1e-06
"Croatia",1e-06
"Denmark",1e-06
"Dominican_Republic",1e-06
"Ecuador",1e-06
"Egypt",1e-06
"Estonia",1e-06
"Ethiopia",1e-06
"Fiji",1e-06
"Finland",1e-06
"France",1e-06
"Georgia",1e-06
"Germany",1e-06
"Ghana",1e-06
"Greece",1e-06
"Guatemala",1e-06
"Guinea",1e-06
"Guyana",1e-06
"Haiti",1e-06
"Honduras",1e-06
"Hungary",1e-06
"Iceland",1e-06
"India",1e-06
"Indonesia",1e-06
"Iran",1e-06
"Iraq",1e-06
"Ireland",1e-06
"Israel",1e-06
"Italy",1e-06
"Jamaica",1e-06
"Japan",1e-06
"Jordan",1e-06
"Kazakhstan",1e-06
"Kenya",1e-06
"Kyrgyzstan",1e-06
"Latvia",1e-06
"Lebanon",1e-06
"Lesotho",1e-06
"Liberia",1e-06
"Lithuania",1e-06
"Malaysia",1e-06
"Maldives",1e-06
"Malta",1e-06
"Mauritania",1e-06
"Mexico",1e-06
"Mongolia",1e-06
"Montenegro",1e-06
"Morocco",1e-06
"Mozambique",1e-06
"Namibia",1e-06
"Nepal",1e-06
"Netherlands",1e-06
"New_Zealand",1e-06
"Nicaragua",1e-06
"Niger",1e-06
"Nigeria",1e-06
"Oman",1e-06
"Pakistan",1e-06
"Panama",1e-06
"Paraguay",1e-06
"Peru",1e-06
"Philippines",1e-06
"Poland",1e-06
"Portugal",1e-06
"Qatar",1e-06
"Republic_of_Congo",1e-06
"Republic_of_Korea",1e-06
"Romania",1e-06
"Russia",1e-06
"Rwanda",1e-06
"Sao_Tome_and_Principe",1e-06
"Saudi_Arabia",1e-06
"Senegal",1e-06
"Serbia",1e-06
"Sierra_Leone",1e-06
"Singapore",1e-06
"Slovakia",1e-06
"Slovenia",1e-06
"Solomon_Islands",1e-06
"South_Africa",1e-06
"Spain",1e-06
"Sri_Lanka",1e-06
"Suriname",1e-06
"Sweden",1e-06
"Switzerland",1e-06
"Syrian_Arab_Republic",1e-06
"Tajikistan",1e-06
"Tanzania",1e-06
"Thailand",1e-06
"Tunisia",1e-06
"Turkey",1e-06
"Uganda",1e-06
"Ukraine",1e-06
"United_Arab_Emirates",1e-06
"United_Kingdom",1e-06
"Uruguay",1e-06
"USA",1e-06
"Uzbekistan",1e-06
"Venezuela",1e-06
"Vietnam",1e-06
"Yemen",1e-06
"Zambia",1e-06
"Zimbabwe",1e-06
