"country","dose_per_1000"
"Albania",1
"Algeria",1
"Argentina",1
"Armenia",1
"Australia",1
"Austria",1
"Azerbaijan",1
"Bahamas",1
"Bangladesh",1
"Belarus",1
"Belgium",1
"Benin",1
"Bolivia",1
"Botswana",1
"Brazil",1
"Bulgaria",1
"Burkina_Faso",1
"Cambodia",1
"Cameroon",1
"Canada",1
"Cape_Verde",1
"Chile",1
"China",1
"Colombia",1
"Costa_Rica",1
"Croatia",1
"Denmark",1
"Dominican_Republic",1
"Ecuador",1
"Egypt",1
"Estonia",1
"Ethiopia",1
"Fiji",1
"Finland",1
"France",1
"Georgia",1
"Germany",1
"Ghana",1
"Greece",1
"Guatemala",1
"Guinea",1
"Guyana",1
"Haiti",1
"Honduras",1
"Hungary",1
"Iceland",1
"India",1
"Indonesia",1
"Iran",1
"Iraq",1
"Ireland",1
"Israel",1
"Italy",1
"Jamaica",1
"Japan",1
"Jordan",1
"Kazakhstan",1
"Kenya",1
"Kyrgyzstan",1
"Latvia",1
"Lebanon",1
"Lesotho",1
"Liberia",1
"Lithuania",1
"Malaysia",1
"Maldives",1
"Malta",1
"Mauritania",1
"Mexico",1
"Mongolia",1
"Montenegro",1
"Morocco",1
"Mozambique",1
"Namibia",1
"Nepal",1
"Netherlands",1
"New_Zealand",1
"Nicaragua",1
"Niger",1
"Nigeria",1
"Oman",1
"Pakistan",1
"Panama",1
"Paraguay",1
"Peru",1
"Philippines",1
"Poland",1
"Portugal",1
"Qatar",1
"Republic_of_Congo",1
"Republic_of_Korea",1
"Romania",1
"Russia",1
"Rwanda",1
"Sao_Tome_and_Principe",1
"Saudi_Arabia",1
"Senegal",1
"Serbia",1
"Sierra_Leone",1
"Singapore",1
"Slovakia",1
"Slovenia",1
"Solomon_Islands",1
"South_Africa",1
"Spain",1
"Sri_Lanka",1
"Suriname",1
"Sweden",1
"Switzerland",1
"Syrian_Arab_Republic",1
"Tajikistan",1
"Tanzania",1
"Thailand",1
"Tunisia",1
"Turkey",1
"Uganda",1
"Ukraine",1
"United_Arab_Emirates",1
"United_Kingdom",1
"Uruguay",1
"USA",1
"Uzbekistan",1
"Venezuela",1
"Vietnam",1
"Yemen",1
"Zambia",1
"Zimbabwe",1
