"country","dose_per_1000"
"Albania",4.18968988913886e-10
"Algeria",3.9275262576171e-06
"Argentina",5.29206750099396e-06
"Armenia",4.15966663690996e-10
"Australia",6.45357519468528e-07
"Austria",1.88983955311026e-08
"Azerbaijan",2.70657260126012e-08
"Bahamas",3.53809428901207e-13
"Bangladesh",0.000521876913911416
"Belarus",2.5797162898441e-08
"Belgium",4.74177046857074e-08
"Benin",3.77490539892286e-08
"Bolivia",3.96434623879999e-08
"Botswana",1.57204882571115e-10
"Brazil",0.00123037040556517
"Bulgaria",9.718099398102e-09
"Burkina_Faso",2.4807301900462e-07
"Cambodia",1.44446206698813e-07
"Cameroon",5.58321793958105e-07
"Canada",2.73355084592378e-06
"Cape_Verde",1.08474150214429e-12
"Chile",2.31786496065381e-07
"China",1
"Colombia",7.64469081063006e-06
"Costa_Rica",2.39142426427719e-09
"Croatia",1.53506530129944e-09
"Denmark",4.30930063289822e-09
"Dominican_Republic",3.71528036114768e-08
"Ecuador",1.65889938478974e-07
"Egypt",7.8367213902106e-05
"Estonia",2.55871055028769e-11
"Ethiopia",9.76898311873968e-05
"Fiji",6.57745696522087e-12
"Finland",3.78501525472781e-09
"France",2.10972735707636e-05
"Georgia",1.20403829662647e-09
"Germany",4.83845889376041e-05
"Ghana",1.08149937538085e-06
"Greece",4.63964818153239e-08
"Guatemala",1.69806719827425e-07
"Guinea",6.0328775395958e-08
"Guyana",3.91312043302329e-12
"Haiti",3.94626360852849e-08
"Honduras",2.11362869123196e-08
"Hungary",2.87467385467864e-08
"Iceland",2.02572185929129e-13
"India",0.796402275468886
"Indonesia",0.00271271478356129
"Iran",4.36904816011536e-05
"Iraq",2.77798425671418e-06
"Ireland",2.20863285203310e-09
"Israel",1.46182816780126e-08
"Italy",1.59474991808372e-05
"Jamaica",3.93936797007388e-10
"Japan",0.000232658545517154
"Jordan",2.28165108297538e-08
"Kazakhstan",2.31193316922383e-07
"Kenya",7.10782822604252e-06
"Kyrgyzstan",4.79423239941976e-09
"Latvia",1.09662103071304e-10
"Lebanon",4.75429765485113e-09
"Lesotho",1.4889785433591e-10
"Liberia",1.89681433523074e-09
"Lithuania",4.23501454126098e-10
"Malaysia",1.57726148324892e-06
"Maldives",4.63338097590799e-13
"Malta",5.03308443880151e-13
"Mauritania",1.46765887341761e-09
"Mexico",0.000219665784916865
"Mongolia",4.46690736588775e-10
"Montenegro",1.92592680649152e-12
"Morocco",2.44027859360203e-06
"Mozambique",1.14138240214737e-06
"Namibia",2.1822214122706e-10
"Nepal",1.2360485080277e-06
"Netherlands",1.962449432317e-07
"New_Zealand",2.07196299038051e-09
"Nicaragua",5.44431795093894e-09
"Niger",3.4477647472301e-07
"Nigeria",0.000785567843559584
"Oman",1.48988772254731e-09
"Pakistan",0.000917188169021488
"Panama",1.22226357980709e-09
"Paraguay",7.39844356245609e-09
"Peru",1.69793471193253e-06
"Philippines",0.000104146212595432
"Poland",3.40084655210958e-06
"Portugal",3.58118091035319e-08
"Qatar",2.36367218746368e-10
"Republic_of_Congo",2.73501384366995e-09
"Republic_of_Korea",9.03914977266426e-06
"Romania",3.43565033583213e-07
"Russia",0.000350644508074306
"Rwanda",5.26392904412878e-08
"Sao_Tome_and_Principe",3.27097537565699e-14
"Saudi_Arabia",1.73227169585908e-06
"Senegal",1.27575690973109e-07
"Serbia",2.02420371501214e-08
"Sierra_Leone",1.00054362492081e-08
"Singapore",3.91464796622512e-09
"Slovakia",3.68211824322525e-09
"Slovenia",1.26282851155767e-10
"Solomon_Islands",1.52059787532973e-12
"South_Africa",1.23330809328988e-05
"Spain",6.67618614163197e-06
"Sri_Lanka",3.96921776676543e-07
"Suriname",1.23401086788588e-12
"Sweden",2.85415939013103e-08
"Switzerland",1.63009406791738e-08
"Syrian_Arab_Republic",2.79298733243039e-07
"Tajikistan",1.7926051292267e-08
"Tanzania",1.12662031903758e-05
"Thailand",2.6314798211965e-05
"Tunisia",4.72121884164527e-08
"Turkey",4.16278627082032e-05
"Uganda",4.02245452377116e-06
"Ukraine",5.84021005636336e-06
"United_Arab_Emirates",2.27729453156644e-08
"United_Kingdom",2.21938893416519e-05
"Uruguay",7.3484628352745e-10
"USA",0.00574736335829749
"Uzbekistan",1.62319127520717e-06
"Venezuela",1.65625868848257e-06
"Vietnam",7.77663503342303e-05
"Yemen",9.92699592651559e-07
"Zambia",1.64348596624623e-07
"Zimbabwe",1.53061693571161e-07
