"country","dose_per_1000"
"Albania",0.0133179192014957
"Algeria",0.0829514189626313
"Argentina",0.0880491311919828
"Armenia",0.0132987770534938
"Australia",0.0578042904977984
"Austria",0.0285288973811145
"Azerbaijan",0.0306537729451136
"Bahamas",0.00323410324772345
"Bangladesh",0.22055332888178
"Belarus",0.0303608823717648
"Belgium",0.0342916281355829
"Benin",0.0327628153747169
"Bolivia",0.0330852419984961
"Botswana",0.0109469518059287
"Brazil",0.261822626536676
"Bulgaria",0.0249756193850297
"Burkina_Faso",0.0477436817334129
"Cambodia",0.0428490530169532
"Cameroon",0.0561535110556407
"Canada",0.077151687799903
"Cape_Verde",0.004046366824552
"Chile",0.0470996441629629
"China",1
"Colombia",0.0947702409957613
"Costa_Rica",0.0188682371563249
"Croatia",0.0172673372364721
"Denmark",0.0212266450936952
"Dominican_Republic",0.0326586567603843
"Ecuador",0.0440518355427424
"Egypt",0.150947832556166
"Estonia",0.00761384851713517
"Ethiopia",0.157750183036147
"Fiji",0.00580245262200912
"Finland",0.0206829997562335
"France",0.116103487949595
"Georgia",0.0164485666953726
"Germany",0.137069683872236
"Ghana",0.064092211120423
"Greece",0.0341426330093599
"Guatemala",0.0442579174646204
"Guinea",0.0359836241541213
"Guyana",0.00523003557355881
"Haiti",0.033055004339366
"Honduras",0.0291746556749991
"Hungary",0.0310254233170991
"Iceland",0.00289278370818416
"India",0.955490775056335
"Indonesia",0.306676732101979
"Iran",0.134300418623069
"Iraq",0.0774008902777928
"Ireland",0.0185705474006287
"Israel",0.0271006224056197
"Italy",0.109783865358295
"Jamaica",0.0131548321150257
"Japan",0.187647940285051
"Jordan",0.0296244193187852
"Kazakhstan",0.0470755123255071
"Kenya",0.0934001093618868
"Kyrgyzstan",0.0216842205835776
"Latvia",0.0101861792437429
"Lebanon",0.0216479747985121
"Lesotho",0.0108287340543652
"Liberia",0.0180137845700027
"Lithuania",0.0133466103378877
"Malaysia",0.0691163411503021
"Maldives",0.0034133404093565
"Malta",0.00347029858613608
"Mauritania",0.0171129556538421
"Mexico",0.185503660266454
"Mongolia",0.013489671977355
"Montenegro",0.00453866319273743
"Morocco",0.0754202351341093
"Mozambique",0.0647867559922694
"Namibia",0.0116890647017701
"Nepal",0.0658274607724523
"Netherlands",0.04555748018643
"New_Zealand",0.0183348093639289
"Nicaragua",0.0222427610363259
"Niger",0.0509926432914884
"Nigeria",0.239351822974274
"Oman",0.0171644822651966
"Pakistan",0.246883285785093
"Panama",0.0164980636285704
"Paraguay",0.0236498327097839
"Peru",0.0701429775139878
"Philippines",0.159782310238028
"Poland",0.0805967273184087
"Portugal",0.0324194208456532
"Qatar",0.0118772924209281
"Republic_of_Congo",0.0193817017285669
"Republic_of_Korea",0.0979998738128913
"Romania",0.050956758248925
"Russia",0.203691735386999
"Rwanda",0.0350156348969955
"Sao_Tome_and_Principe",0.00200879424244105
"Saudi_Arabia",0.0704244075064155
"Senegal",0.0417978156179783
"Serbia",0.0289234998821281
"Sierra_Leone",0.0251215947695479
"Singapore",0.0208227719436257
"Slovakia",0.0205693016019097
"Slovenia",0.0104777703573092
"Solomon_Islands",0.00432915241225894
"South_Africa",0.104283192069801
"Spain",0.09223711006946
"Sri_Lanka",0.0524494556656738
"Suriname",0.00415206168435342
"Sweden",0.0309810151784958
"Switzerland",0.0276976251510328
"Syrian_Arab_Republic",0.0488892970888988
"Tajikistan",0.0282290931591384
"Tanzania",0.102413100868857
"Thailand",0.121350063749645
"Tunisia",0.0342618513364162
"Turkey",0.133007711977053
"Uganda",0.0833485844842861
"Ukraine",0.0898019347646133
"United_Arab_Emirates",0.0296130977814905
"United_Kingdom",0.117286137243837
"Uruguay",0.0149018195605443
"USA",0.35636392282734
"Uzbekistan",0.0695142657627668
"Venezuela",0.0697952125084781
"Vietnam",0.150715647433375
"Yemen",0.0630033393311519
"Zambia",0.043969669374376
"Zimbabwe",0.043348423024225
