"country","dose_per_1000"
"Albania",9.57051020928298e-05
"Algeria",0.00482163020176519
"Argentina",0.00547894056528242
"Armenia",9.54105746383625e-05
"Australia",0.00222360326688365
"Austria",0.000489661998077763
"Azerbaijan",0.000571151460811889
"Bahamas",4.61060923013972e-06
"Bangladesh",0.0391961548944307
"Belarus",0.000559521202475155
"Belgium",0.000726302215554281
"Benin",0.000658679323906846
"Bolivia",0.00067264794407425
"Botswana",6.28760776544114e-05
"Brazil",0.0566073101180158
"Bulgaria",0.000368219078822114
"Burkina_Faso",0.0014760651060424
"Cambodia",0.00117069965168267
"Cameroon",0.00208974546655354
"Canada",0.00412800495499833
"Cape_Verde",7.45216876202714e-06
"Chile",0.00143372659584511
"China",1
"Colombia",0.00641437363164239
"Costa_Rica",0.000201901040146941
"Croatia",0.000166965135783386
"Denmark",0.000259863790201901
"Dominican_Republic",0.000654200214590062
"Ecuador",0.00124224881512175
"Egypt",0.0173917513357551
"Estonia",2.88788900378455e-05
"Ethiopia",0.0191145470448634
"Fiji",1.61338921466818e-05
"Finland",0.000245810491198395
"France",0.00991053273772408
"Georgia",0.00015045868843765
"Germany",0.0141445370692575
"Ghana",0.00277430444034659
"Greece",0.000719556699949672
"Guatemala",0.00125473521900911
"Guinea",0.000805265467723401
"Guyana",1.29146124329459e-05
"Haiti",0.000671331301084318
"Honduras",0.000513720130051884
"Hungary",0.000586092999278788
"Iceland",3.63046937551205e-06
"India",0.907043699439496
"Indonesia",0.079438373466817
"Iran",0.0135392421772193
"Iraq",0.00415662968044008
"Ireland",0.000195136564520887
"Israel",0.000438630094532293
"Italy",0.00879045002738077
"Jamaica",9.32112905903758e-05
"Japan",0.0277255120174335
"Jordan",0.000530840386085945
"Kazakhstan",0.00143215295666639
"Kenya",0.00621729592124743
"Kyrgyzstan",0.000272015650816446
"Latvia",5.38831300637716e-05
"Lebanon",0.000271042263191903
"Lesotho",6.14300345779721e-05
"Liberia",0.000182814499794512
"Lithuania",9.6147460255394e-05
"Malaysia",0.00326127408259391
"Maldives",5.17554740117811e-06
"Malta",5.36237919439336e-06
"Mauritania",0.000163782656355679
"Mexico",0.0270510354061243
"Mongolia",9.8369422055778e-05
"Montenegro",9.53084339287402e-06
"Morocco",0.00393203061043972
"Mozambique",0.00283912679265845
"Namibia",7.23649160524556e-05
"Nepal",0.00293775260875935
"Netherlands",0.00133501166549937
"New_Zealand",0.00018986697268478
"Nicaragua",0.000287250961830295
"Niger",0.0016997038876623
"Nigeria",0.0467051145829746
"Oman",0.000164841213673948
"Pakistan",0.0499110235238613
"Panama",0.000151430555746343
"Paraguay",0.000327601491852996
"Peru",0.00336596033918899
"Philippines",0.0196460740898196
"Poland",0.00453309107206164
"Portugal",0.000643974095060093
"Qatar",7.4884948177958e-05
"Republic_of_Congo",0.000213858005618374
"Republic_of_Korea",0.00689192261624706
"Romania",0.00169714177776069
"Russia",0.0330543584165898
"Rwanda",0.000759558870373698
"Sao_Tome_and_Principe",1.66178936347153e-06
"Saudi_Arabia",0.00339496602604482
"Senegal",0.00111001567714891
"Serbia",0.000504290026379138
"Sierra_Leone",0.000372846204810865
"Singapore",0.000249383838716257
"Slovakia",0.000242924018143971
"Slovenia",5.72425562285977e-05
"Solomon_Islands",8.61289236152019e-06
"South_Africa",0.00787360339428149
"Spain",0.00605258306943212
"Sri_Lanka",0.00180545981142802
"Suriname",7.87552591279618e-06
"Sweden",0.000584296821699747
"Switzerland",0.000459596652986177
"Syrian_Arab_Republic",0.00155300342664956
"Tajikistan",0.000478701560763932
"Tanzania",0.00757413860622823
"Thailand",0.0108950340111442
"Tunisia",0.000724951434517044
"Turkey",0.0132615165472907
"Uganda",0.00487123477274419
"Ukraine",0.00571532290049902
"United_Arab_Emirates",0.000530405757907453
"United_Kingdom",0.0101281146054702
"Uruguay",0.00012176228418716
"USA",0.109590341598613
"Uzbekistan",0.00330164116939846
"Venezuela",0.00333030110311678
"Vietnam",0.0173344767210548
"Yemen",0.00267428474689425
"Zambia",0.00123728897424996
"Zimbabwe",0.00120013059156825
