"country","dose_per_1000"
"Albania",2.00243526381587e-07
"Algeria",0.000137612060597727
"Argentina",0.000170278957318303
"Armenia",1.99217515327243e-07
"Australia",3.78816458010755e-05
"Austria",3.04201020975005e-06
"Azerbaijan",3.93174629777044e-06
"Bahamas",1.27721455464709e-09
"Bangladesh",0.00452278325298697
"Belarus",3.79921828872509e-06
"Belgium",5.86852485465708e-06
"Benin",4.98643373161101e-06
"Bolivia",5.16392229523964e-06
"Botswana",9.94204526452885e-08
"Brazil",0.00834553527988808
"Bulgaria",1.89166318573653e-06
"Burkina_Faso",1.91356193289716e-05
"Cambodia",1.30039656977856e-05
"Cameroon",3.41577288150426e-05
"Canada",0.000106226698323506
"Cape_Verde",2.84318074296272e-09
"Chile",1.82296040540294e-05
"China",1
"Colombia",0.000221440518328883
"Costa_Rica",6.94860451018907e-07
"Croatia",5.06263159303367e-07
"Denmark",1.05822076883058e-06
"Dominican_Republic",4.93004787961035e-06
"Ecuador",1.43553676203755e-05
"Egypt",0.00116745153949162
"Estonia",2.71832155236339e-08
"Ethiopia",0.00136649071494696
"Fiji",1.03014552989524e-08
"Finland",9.64570608591233e-07
"France",0.000457258373788576
"Georgia",4.25626623860774e-07
"Germany",0.00082727118395888
"Ghana",5.4775984877966e-05
"Greece",5.77796671367267e-06
"Guatemala",1.45966596107426e-05
"Guinea",6.96998418480316e-06
"Guyana",7.10889821251768e-09
"Haiti",5.14708682920263e-06
"Honduras",3.29516859377646e-06
"Hungary",4.10466347151252e-06
"Iceland",8.57573388898137e-10
"India",0.849924506167066
"Indonesia",0.0146797019753637
"Iran",0.000769113783023917
"Iraq",0.000107457209219547
"Ireland",6.56494498860201e-07
"Israel",2.53219633407964e-06
"Italy",0.000374413801309254
"Jamaica",1.91622955984134e-07
"Japan",0.00253979867306337
"Jordan",3.4802191623518e-06
"Kazakhstan",1.8196268639254e-05
"Kenya",0.000210217676323143
"Kyrgyzstan",1.14197471350878e-06
"Latvia",7.68696127403917e-08
"Lebanon",1.13517205579542e-06
"Lesotho",9.56389059977204e-08
"Liberia",5.88867696429569e-07
"Lithuania",2.01788476451681e-07
"Malaysia",7.17208616567965e-05
"Maldives",1.54855684004588e-09
"Malta",1.64284227113421e-09
"Mauritania",4.9028264186316e-07
"Mexico",0.00243766013326309
"Mongolia",2.09620394036238e-07
"Montenegro",4.2843560518249e-09
"Morocco",9.79553476235165e-05
"Mozambique",5.69256476344843e-05
"Namibia",1.25664740204575e-07
"Nepal",6.02594783333832e-05
"Netherlands",1.61860831738127e-05
"New_Zealand",6.27213951135058e-07
"Nicaragua",1.25055410435421e-06
"Niger",2.42078068907781e-05
"Nigeria",0.00605723007208333
"Oman",4.95575322652987e-07
"Pakistan",0.00676592937295674
"Panama",4.30218610893e-07
"Paraguay",1.55683690489749e-06
"Peru",7.55988154596167e-05
"Philippines",0.00143040700810083
"Poland",0.000124162583505739
"Portugal",4.80227835094049e-06
"Qatar",1.3304265078083e-07
"Republic_of_Congo",7.6479056345244e-07
"Republic_of_Korea",0.000249593911684298
"Romania",2.4147019937703e-05
"Russia",0.0034044572616934
"Rwanda",6.32318274169406e-06
"Sao_Tome_and_Principe",2.33145278473403e-10
"Saudi_Arabia",7.66877014606685e-05
"Senegal",1.19000427311525e-05
"Serbia",3.19497377898509e-06
"Sierra_Leone",1.9314473673891e-06
"Singapore",9.88053610407862e-07
"Slovakia",9.45766862881913e-07
"Slovenia",8.50220748276094e-08
"Solomon_Islands",3.61894263913802e-09
"South_Africa",0.000311618015999108
"Spain",0.000201017838037372
"Sri_Lanka",2.67698770275492e-05
"Suriname",3.11744840642269e-09
"Sweden",4.0837192120395e-06
"Switzerland",2.73712582404874e-06
"Syrian_Arab_Republic",2.08267109689773e-05
"Tajikistan",2.92937343675103e-06
"Tanzania",0.000292116046340897
"Thailand",0.000535444321583257
"Tunisia",5.85034560681643e-06
"Turkey",0.000742999724181094
"Uganda",0.000139979714058774
"Ukraine",0.000182698347772655
"United_Arab_Emirates",3.47547138096978e-06
"United_Kingdom",0.000474112069866792
"Uruguay",2.99126331185918e-07
"USA",0.0250969223955283
"Uzbekistan",7.32065238898309e-05
"Venezuela",7.42687022728971e-05
"Vietnam",0.0011610508126478
"Yemen",5.15243765500972e-05
"Zambia",1.42599686723744e-05
"Zimbabwe",1.35533767324603e-05
