"country","dose_per_1000"
"Albania",4.00974698577331e-14
"Algeria",1.89370792219524e-08
"Argentina",2.89949233054086e-08
"Armenia",3.96876184131605e-14
"Australia",1.43501908859814e-09
"Austria",9.25382611622356e-12
"Azerbaijan",1.54586289500315e-11
"Bahamas",1.63127701860237e-18
"Bangladesh",2.04555683534994e-05
"Belarus",1.44340596053832e-11
"Belgium",3.44395839697279e-11
"Benin",2.48645213597482e-11
"Bolivia",2.6666093471273e-11
"Botswana",9.88442640419404e-15
"Brazil",6.96479591078567e-05
"Bulgaria",3.57838960827086e-12
"Burkina_Faso",3.66171927103313e-10
"Cambodia",1.69103123869184e-10
"Cameroon",1.16675043780199e-09
"Canada",1.12841114367132e-08
"Cape_Verde",8.08367673715405e-18
"Chile",3.32318463966684e-10
"China",1
"Colombia",4.90359031577643e-08
"Costa_Rica",4.82831046390199e-13
"Croatia",2.56302386467826e-13
"Denmark",1.11983119558438e-12
"Dominican_Republic",2.43053720952505e-11
"Ecuador",2.06076579516125e-10
"Egypt",1.36294309706136e-06
"Estonia",7.38927206204334e-16
"Ethiopia",1.86729687403626e-06
"Fiji",1.06119981276315e-16
"Finland",9.30396458958061e-13
"France",2.09085220399773e-07
"Georgia",1.81158022939121e-13
"Germany",6.84377611808727e-07
"Ghana",3.00040851935115e-09
"Greece",3.33848993443094e-11
"Guatemala",2.13062471791884e-10
"Guinea",4.85806795364061e-11
"Guyana",5.0536433795937e-17
"Haiti",2.64925028273512e-11
"Honduras",1.08581360614107e-11
"Hungary",1.68482622143692e-11
"Iceland",7.35432117346235e-19
"India",0.722371666183331
"Indonesia",0.000215493650085498
"Iran",5.91536011237361e-07
"Iraq",1.15470518132534e-08
"Ireland",4.30985027033706e-13
"Israel",6.41201827432635e-12
"Italy",1.40185694610845e-07
"Jamaica",3.67193572600975e-14
"Japan",6.45057729969445e-06
"Jordan",1.21119254180007e-11
"Kazakhstan",3.311041923919e-10
"Kenya",4.41914714387015e-08
"Kyrgyzstan",1.30410624629346e-12
"Latvia",5.90893736285779e-15
"Lebanon",1.2886155962588e-12
"Lesotho",9.14680034044079e-15
"Liberia",3.46765163898267e-13
"Lithuania",4.07185892286906e-14
"Malaysia",5.14388199679335e-09
"Maldives",2.39802828685287e-18
"Malta",2.69893072782542e-18
"Mauritania",2.4037706891232e-13
"Mexico",5.94218692530022e-06
"Mongolia",4.39407095959076e-14
"Montenegro",1.83557067788086e-17
"Morocco",9.59525012804396e-09
"Mozambique",3.24052935860547e-09
"Namibia",1.57916269306833e-14
"Nepal",3.63120472901148e-09
"Netherlands",2.61989288509581e-10
"New_Zealand",3.9339734049845e-13
"Nicaragua",1.56388556791715e-12
"Niger",5.86017914461203e-10
"Nigeria",3.66900361461507e-05
"Oman",2.45594900422612e-13
"Pakistan",4.57778002798388e-05
"Panama",1.85088053158702e-13
"Paraguay",2.42374114845081e-12
"Peru",5.71518089889719e-09
"Philippines",2.04606420882396e-06
"Poland",1.54163471428195e-08
"Portugal",2.30618773599117e-11
"Qatar",1.77003469267898e-14
"Republic_of_Congo",5.849046059459e-13
"Republic_of_Korea",6.22971207498693e-08
"Romania",5.83078571871827e-10
"Russia",1.15903292466969e-05
"Rwanda",3.99826399848576e-11
"Sao_Tome_and_Principe",5.43567208744408e-20
"Saudi_Arabia",5.88100355532062e-09
"Senegal",1.41611017003256e-10
"Serbia",1.02078574484022e-11
"Sierra_Leone",3.73048893299429e-12
"Singapore",9.7624993704001e-13
"Slovakia",8.94474958925496e-13
"Slovenia",7.2287532079916e-15
"Solomon_Islands",1.30967458253713e-17
"South_Africa",9.71057878952203e-08
"Spain",4.0408171209219e-08
"Sri_Lanka",7.16626316070106e-10
"Suriname",9.71848456670739e-18
"Sweden",1.66767626027805e-11
"Switzerland",7.49185777667452e-12
"Syrian_Arab_Republic",4.3375188978532e-10
"Tajikistan",8.58122873194253e-12
"Tanzania",8.53317845298372e-08
"Thailand",2.86700621515755e-07
"Tunisia",3.42265437191963e-11
"Turkey",5.52048590133182e-07
"Uganda",1.95943203479762e-08
"Ukraine",3.33786862788582e-08
"United_Arab_Emirates",1.207890131994e-11
"United_Kingdom",2.24782254793374e-07
"Uruguay",8.94765620087474e-14
"USA",0.000629855513727171
"Uzbekistan",5.35919514003239e-09
"Venezuela",5.51584013730023e-09
"Vietnam",1.34803898955011e-06
"Yemen",2.6547613788762e-09
"Zambia",2.033467065371e-10
"Zimbabwe",1.83694020851996e-10
