"originalID","Location","Data"
1,"Afghanistan","OAG"
2,"Albania","OAG"
3,"Algeria","OAG"
4,"American_Samoa","OAG"
5,"Andorra","OAG"
6,"Angola","OAG"
7,"Antigua_Barbuda","OAG"
8,"Argentina","OAG"
9,"Armenia","OAG"
10,"Aruba","OAG"
11,"Australia","OAG"
12,"Austria","OAG"
13,"Azerbaijan","OAG"
14,"Bahrain","OAG"
15,"Bangladesh","OAG"
16,"Barbados","OAG"
17,"Belarus","OAG"
18,"Belgium","OAG"
19,"Belize","OAG"
20,"Benin","OAG"
21,"Bermuda","OAG"
22,"Bhutan","OAG"
23,"Bolivia","OAG"
24,"Bosnia_Gerzegovina","OAG"
25,"Botswana","OAG"
26,"Brazil","OAG"
27,"Bulgaria","OAG"
28,"Burkina_Faso","OAG"
29,"Burma","OAG"
30,"Burundi","OAG"
31,"Cambodia","OAG"
32,"Cameroon","OAG"
33,"Canada","OAG"
34,"Cape_Verde","OAG"
35,"Cayman_Islands","OAG"
36,"Centr_African_Rep","OAG"
37,"Chad","OAG"
38,"Chile","OAG"
39,"China","OAG"
40,"Colombia","OAG"
41,"Comoros","OAG"
42,"Congo_Brazzaville","OAG"
43,"Congo_Dem_Rep","OAG"
44,"Costa_Rica","OAG"
45,"Cote_dIvore","OAG"
46,"Croatia","OAG"
47,"Cuba","OAG"
48,"Cyprus","OAG"
49,"Czech_Republic","OAG"
50,"Denmark","OAG"
51,"Djibouti","OAG"
52,"Dominica","OAG"
53,"Dominican_Republic","OAG"
54,"Ecuador","OAG"
55,"Egypt","OAG"
56,"El_Salvador","OAG"
57,"Equatorial_Guinea","OAG"
58,"Eritrea","OAG"
59,"Estonia","OAG"
60,"Ethiopia","OAG"
61,"Faroe_Islands","OAG"
62,"Fiji","OAG"
63,"Finland","OAG"
64,"France","OAG"
65,"French_Guiana","OAG"
66,"French_Polynesia","OAG"
67,"Gabon","OAG"
68,"Gambia","OAG"
69,"Georgia","OAG"
70,"Germany","OAG"
71,"Ghana","OAG"
72,"Gibraltar","OAG"
73,"Greece","OAG"
74,"Greenland","OAG"
75,"Grenada","OAG"
76,"Guadeloupe","OAG"
77,"Guam","OAG"
78,"Guatemala","OAG"
79,"Guernsey","OAG"
80,"Guinea","OAG"
81,"Guinea-Bissau","OAG"
82,"Guyana","OAG"
83,"Haiti","OAG"
84,"Honduras","OAG"
85,"Hong_Kong","OAG"
86,"Hungary","OAG"
87,"Iceland","OAG"
88,"India","OAG"
89,"Indonesia","OAG"
90,"Iran","OAG"
91,"Iraq","OAG"
92,"Ireland","OAG"
93,"Isle_of_Man","OAG"
94,"Israel","OAG"
95,"Italy","OAG"
96,"Jamaica","OAG"
97,"Japan","OAG"
98,"Jersey","OAG"
99,"Jordan","OAG"
100,"Kazakhstan","OAG"
101,"Kenya","OAG"
102,"Kiribati","OAG"
103,"Kuwait","OAG"
104,"Kyrgyzstan","OAG"
105,"Laos","OAG"
106,"Latvia","OAG"
107,"Lebanon","OAG"
108,"Lesotho","OAG"
109,"Liberia","OAG"
110,"Libya","OAG"
111,"Liechtenstein","OAG"
112,"Lithuania","OAG"
113,"Luxembourg","OAG"
114,"Macao","OAG"
115,"Macedonia","OAG"
116,"Madagascar","OAG"
117,"Malawi","OAG"
118,"Malaysia","OAG"
119,"Maldives","OAG"
120,"Mali","OAG"
121,"Malta","OAG"
122,"Marshall_Islands","OAG"
123,"Martinique","OAG"
124,"Mauritania","OAG"
125,"Mauritius","OAG"
126,"Mexico","OAG"
127,"Micronesia","OAG"
128,"Moldova","OAG"
129,"Monaco","OAG"
130,"Mongolia","OAG"
131,"Montserrat","OAG"
132,"Morocco","OAG"
133,"Mozambique","OAG"
134,"Namibia","OAG"
135,"Nepal","OAG"
136,"Netherlands","OAG"
137,"Netherlands_Antilles","OAG"
138,"New_Caledonia","OAG"
139,"New_Guinea","OAG"
140,"New_Zealand","OAG"
141,"Nicaragua","OAG"
142,"Niger","OAG"
143,"Nigeria","OAG"
144,"NKorea","OAG"
145,"Northern_Mariana_Islands","OAG"
146,"Norway","OAG"
147,"Oman","OAG"
148,"Pakistan","OAG"
149,"Palau","OAG"
150,"Palest_Territory","OAG"
151,"Panama","OAG"
152,"Paraguay","OAG"
153,"Peru","OAG"
154,"Philippines","OAG"
155,"Poland","OAG"
156,"Portugal","OAG"
157,"Puerto_Rico","OAG"
158,"Reunion","OAG"
159,"Romania","OAG"
160,"Russia","OAG"
161,"Rwanda","OAG"
162,"Samoa","OAG"
163,"San_Marino","OAG"
164,"Sao_Tome_Principe","OAG"
165,"Saudi_Arabia","OAG"
166,"Senegal","OAG"
167,"Serbia","OAG"
168,"Seychelles","OAG"
169,"Sierra_Leone","OAG"
170,"Singapore","OAG"
171,"Skorea","OAG"
172,"Slovakia","OAG"
173,"Slovenia","OAG"
174,"Somalia","OAG"
175,"South_Africa","OAG"
176,"Spain","OAG"
177,"Sri_Lanka","OAG"
178,"St_Kitts__Nevis","OAG"
179,"St_Lucia","OAG"
180,"St_Vincent_The_Grenadines","OAG"
181,"Sudan","OAG"
182,"Suriname","OAG"
183,"Swaziland","OAG"
184,"Sweden","OAG"
185,"Switzerland","OAG"
186,"Syria","OAG"
187,"Taiwan","OAG"
188,"Tajikistan","OAG"
189,"Tanzania","OAG"
190,"Thailand","OAG"
191,"The_Bahamas","OAG"
192,"Timor_Leste","OAG"
193,"Togo","OAG"
194,"Tonga","OAG"
195,"Trinidad_Tobago","OAG"
196,"Tunisia","OAG"
197,"Turkey","OAG"
198,"Turkmenistan","OAG"
199,"Turks_Caicos_Islands","OAG"
200,"Tuvalu","OAG"
201,"Uganda","OAG"
202,"Ukraine","OAG"
203,"United_Arab_Emirates","OAG"
204,"United_Kingdom","OAG"
205,"Uruguay","OAG"
206,"USA","OAG"
207,"Uzbekistan","OAG"
208,"Vanuatu","OAG"
209,"Venezuela","OAG"
210,"Vietnam","OAG"
211,"Virgin_Islands_UK","OAG"
212,"Virgin_Islands_US","OAG"
213,"Yemen","OAG"
214,"Zambia","OAG"
215,"Zimbabwe","OAG"
