"Correct","correctID"
"Afghanistan",1
"Albania",2
"Algeria",3
"American_Samoa",4
"Andorra",5
"Angola",6
"Anguilla",7
"Antarctica",8
"Antigua_Barbuda",9
"Argentina",10
"Armenia",11
"Aruba",12
"Australia",13
"Austria",14
"Azerbaijan",15
"Bahamas",16
"Bahrain",17
"Bangladesh",18
"Barbados",19
"Belarus",20
"Belgium",21
"Belize",22
"Benin",23
"Bermuda",24
"Bhutan",25
"Bolivia",26
"Bosnia_Herzegovina",27
"Botswana",28
"Bouvet_Island",29
"Brazil",30
"British_Indian_Ocean_Territory",31
"Brunei",32
"Bulgaria",33
"Burkina_Faso",34
"Burma",35
"Burundi",36
"Cambodia",37
"Cameroon",38
"Canada",39
"Cape_Verde",40
"Cayman_Islands",41
"Central_African_Republic",42
"Chad",43
"Channel_Islands",44
"Chile",45
"China",46
"Christmas_Island",47
"Cocos_Islands",48
"Colombia",49
"Comoros",50
"Cook_Islands",51
"Costa_Rica",52
"Cote_dIvore",53
"Croatia",54
"Cuba",55
"Curacao",56
"Cyprus",57
"Czech_Republic",58
"Democratic_Peoples_Republic_of_Korea",59
"Democratic_Republic_ of_the_ Congo",60
"Denmark",61
"Djibouti",62
"Dominica",63
"Dominican_Republic",64
"East_Timor",65
"Ecuador",66
"Egypt",67
"El_Salvador",68
"Equatorial_Guinea",69
"Eritrea",70
"Estonia",71
"Ethiopia",72
"Falkland_Islands",73
"Faroe_Islands",74
"Fiji",75
"Finland",76
"France",77
"French_Guiana",78
"French_Polynesia",79
"French_Southern_Territories",80
"Gabon",81
"Gambia",82
"Gaza_Strip",83
"Georgia",84
"Germany",85
"Ghana",86
"Gibraltar",87
"Greece",88
"Greenland",89
"Grenada",90
"Guadeloupe",91
"Guam",92
"Guatemala",93
"Guernsey",94
"Guinea",95
"Guinea-Bissau",96
"Guyana",97
"Haiti",98
"Heard_and_McDonald_Islands",99
"Honduras",100
"Hong_Kong",101
"Hungary",102
"Iceland",103
"India",104
"Indonesia",105
"Iran",106
"Iraq",107
"Ireland",108
"Isle_of_Man",109
"Israel",110
"Italy",111
"Jamaica",112
"Japan",113
"Jersey",114
"Jordan",115
"Kazakhstan",116
"Kenya",117
"Kiribati",118
"Kosovo",119
"Kuwait",120
"Kyrgyzstan",121
"Laos",122
"Latvia",123
"Lebanon",124
"Lesotho",125
"Liberia",126
"Libya",127
"Liechtenstein",128
"Lithuania",129
"Luxembourg",130
"Macao",131
"Macedonia",132
"Madagascar",133
"Malawi",134
"Malaysia",135
"Maldives",136
"Mali",137
"Malta",138
"Marshall_Islands",139
"Martinique",140
"Mauritania",141
"Mauritius",142
"Mayotte",143
"Mexico",144
"Micronesia",145
"Moldova",146
"Monaco",147
"Mongolia",148
"Montenegro",149
"Montserrat",150
"Morocco",151
"Mozambique",152
"Myanmar",153
"Namibia",154
"Nauru",155
"Nepal",156
"Netherlands",157
"Netherlands_Antilles",158
"New_Caledonia",159
"New_Zealand",160
"Nicaragua",161
"Niger",162
"Nigeria",163
"Niue",164
"Norfolk_Island",165
"Northern_Mariana_Islands",166
"Norway",167
"Oman",168
"Pakistan",169
"Palau",170
"Palestinian_Territories",171
"Panama",172
"Papua New Guinea",173
"Paraguay",174
"Peru",175
"Philippines",176
"Pitcairn_Islands",177
"Poland",178
"Portugal",179
"Puerto_Rico",180
"Qatar",181
"Republic_of_Congo",182
"Republic_of_Korea",183
"Reunion",184
"Romania",185
"Russia",186
"Rwanda",187
"Saint_Helena",188
"Saint_Kitts_and_Nevis",189
"Saint_Lucia",190
"Saint_Pierre_and_Miquelon",191
"Saint_Vincent_and_the_Grenadines",192
"Samoa",193
"San_Marino",194
"Sao_Tome_and_Principe",195
"Saudi_Arabia",196
"Senegal",197
"Serbia",198
"Seychelles",199
"Sierra_Leone",200
"Singapore",201
"Slovakia",202
"Slovenia",203
"Solomon_Islands",204
"Somalia",205
"South_Africa",206
"South_Georgia_and_the_South_Sandwich_Islands",207
"South_Sudan",208
"Spain",209
"Sri_Lanka",210
"State_of_Palestine",211
"Sudan",212
"Suriname",213
"Svalbard_and_Jan_Mayen",214
"Swaziland",215
"Sweden",216
"Switzerland",217
"Syrian_Arab_Republic",218
"Taiwan",219
"Tajikistan",220
"Tanzania",221
"Thailand",222
"Timor_Leste",223
"Togo",224
"Tokelau",225
"Tonga",226
"Trinidad_and_Tobago",227
"Tunisia",228
"Turkey",229
"Turkmenistan",230
"Turks_Caicos_Islands",231
"Tuvalu",232
"Uganda",233
"Ukraine",234
"United_Arab_Emirates",235
"United_Kingdom",236
"Uruguay",237
"USA",238
"US_minor_outlying_islands",239
"Uzbekistan",240
"Vanuatu",241
"Vatican_City",242
"Venezuela",243
"Vietnam",244
"Virgin_Islands_UK",245
"Virgin_Islands_US",246
"Wallis_and_Futuna",247
"Western_Sahara",248
"Yemen",249
"Zambia",250
"Zimbabwe",251
