Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.0816898346,145.391998291,5282,10,U,Pacific/Port_Moresby,airport,OurAirports
Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.2070798874,145.789001465,20,10,U,Pacific/Port_Moresby,airport,OurAirports
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789856,144.296005249,5388,10,U,Pacific/Port_Moresby,airport,OurAirports
Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977,239,10,U,Pacific/Port_Moresby,airport,OurAirports
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.4433803558,147.2200012207,146,10,U,Pacific/Port_Moresby,airport,OurAirports
Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.5838301182,143.669006348,19,10,U,Pacific/Port_Moresby,airport,OurAirports
Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.1604995728,-45.4259986877,112,-3,E,America/Godthab,airport,OurAirports
Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.19090271,-51.6781005859,283,-3,E,America/Godthab,airport,OurAirports
Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.0122218992,-50.7116031647,165,-3,E,America/Godthab,airport,OurAirports
Thule Air Base,Thule,Greenland,THU,BGTL,76.5311965942,-68.7032012939,251,-4,E,America/Thule,airport,OurAirports
Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.6600036621,-18.0727005005,6,0,N,Atlantic/Reykjavik,airport,OurAirports
Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,65.2833023071,-14.4013996124,76,0,N,Atlantic/Reykjavik,airport,OurAirports
Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,64.295601,-15.2272,24,0,N,Atlantic/Reykjavik,airport,OurAirports
Húsavík Airport,Husavik,Iceland,HZK,BIHU,65.952301,-17.426001,48,0,N,Atlantic/Reykjavik,airport,OurAirports
Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,66.0580978394,-23.1352996826,8,0,N,Atlantic/Reykjavik,airport,OurAirports
Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.9850006104,-22.6056003571,171,0,N,Atlantic/Reykjavik,airport,OurAirports
Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,65.555801,-23.965,11,0,N,Atlantic/Reykjavik,airport,OurAirports
Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,64.1299972534,-21.9405994415,48,0,N,Atlantic/Reykjavik,airport,OurAirports
Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,66.133301,-18.9167,10,0,N,Atlantic/Reykjavik,airport,OurAirports
Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.4243011475,-20.2789001465,326,0,N,Atlantic/Reykjavik,airport,OurAirports
Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,46.4850006104,-84.5093994141,630,-5,A,America/Toronto,airport,OurAirports
Winnipeg / St. Andrews Airport,Winnipeg,Canada,YAV,CYAV,50.0564002991,-97.0325012207,760,-6,A,America/Winnipeg,airport,OurAirports
Halifax / CFB Shearwater Heliport,Halifax,Canada,YAW,CYAW,44.6397018433,-63.4994010925,144,-4,A,America/Halifax,airport,OurAirports
St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,51.3918991089,-56.0830993652,108,-3.5,A,America/St_Johns,airport,OurAirports
Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,49.079833,-125.775583,80,-8,A,America/Vancouver,airport,OurAirports
Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB,68.534401,-89.808098,56,-7,A,America/Edmonton,airport,OurAirports
Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,49.1324996948,-68.2043991089,71,-5,A,America/Toronto,airport,OurAirports
CFB Bagotville,Bagotville,Canada,YBG,CYBG,48.3306007385,-70.9963989258,522,-5,A,America/Toronto,airport,OurAirports
Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,64.2988967896,-96.077796936,59,-6,A,America/Winnipeg,airport,OurAirports
Campbell River Airport,Campbell River,Canada,YBL,CYBL,49.9508018494,-125.2710037231,346,-8,A,America/Vancouver,airport,OurAirports
Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,49.91,-99.951897,1343,-6,A,America/Winnipeg,airport,OurAirports
Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,69.1081008911,-105.138000488,90,-7,A,America/Edmonton,airport,OurAirports
Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,airport,OurAirports
