Location,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216
21,0,0,0,0,0,111,0,0,0,0,8,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,0,0,692,0,0,3970,9,0,0,0,0,0,0,0,0,0,0,0,0,0,13,464,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,168,91,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,64,0,185,0,0,0,357,0,0,0,0,0,0,45,0,0,0,171,0,0,0,0,0,0,35,0,0,0,0,5,0,1302,0,0,0,0,0,0,0,0,1,0,822695,0,0,0,16,0,0,0,0,1,0,0,52,0,0,0,0,87,122,509,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1715,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,362,0,0,0,474,0,0,958,1,0,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20461,0,731,0,0,57,0,35,0,0,0,0,0,0,109,0,0,0,0,85,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,3393,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,7,0,0,0,0,5,0,31,0,0,0,0,0,0,0,343,14,0,0,0,0,0,0,0,0,174,0,0,0,0,6,0,0,0,0,0,2827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,708,0,0,0,0,0,0,0,0,0,23445,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,178,0,2,1,6,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,1,261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9952,0,0,0,0,0,27,0,0,0,0,0,4,0,0,158,0,24,0,0,0,13,0,0,0,0,0,0,113,0,0,0,451,57,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,2662,0,0,0,22,0,0,0,0,0,0,48,0,0,0,0,0,0,0,11,0,0,0,0,0,21,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,102,0,147846,0,0,264,0,62,83,240,16,50,0,0,0,8,0,0,0,0,0,84072,0,0,0,0,0,962,0,18,0,0,307902,3451,5945,0,0,0,2541,0,0,1639,0,0,0,0,0,1137,4797,453,607,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,15,0,0,0,0,0,2,0,0,491,0,0,0,176,0,0,0,0,0,559,0,52,459,0,0,0,0,0,438,0,85,0,0,0,73,0,0,0,0,0,0,236,0,0,0,680,8,0,0,0,0,0,7,0,0,2,0,15,0,202,0,0,0,262,0,0,0,64,606,0,1264,0,0,0,25,0,0,6647,0,6905,86619,0,428,0,0,0,0,137,597,0,0,0,0,0,130,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,65,0,0,0,0,0,0,0,0,0,29942,2737,0,0,2522,0,0,0,0,0,0
25,0,3636,0,0,0,0,0,0,1110,0,631,0,901,4,265,18,4,1,0,0,7,0,0,0,0,0,0,20140,0,0,0,0,1748,0,0,0,0,24,0,20,0,0,0,0,0,0,428,0,0,0,0,0,0,24,0,6,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,1241,23228,0,0,0,868,216,0,0,34,0,1575,0,0,0,235,0,0,0,0,0,0,0,0,0,0,672,120,0,0,0,0,0,50,0,0,6,0,57,0,278,0,0,0,0,0,0,0,0,0,0,501,0,0,0,123,0,0,0,0,2,0,0,3470,0,0,0,0,5006,8065,104,0,0,0,0,1233,0,202,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,13,0,59906,0,0,0,0,1924,0,30763,4370,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,469,0,0,0,0,557,0,1,9,54,0,33,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,605,0,10,0,0,0,1357,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,152,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,100,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,1796,0,0,0,0,0,32,0,0,0,1635,0,0,0,0,0,0,459,0,0,0,0,2,0,107,0,0,26378,0,0,0,0,201,0,0,13600,0,0,0,45,0,0,0,0,2,0,0,21,0,0,0,0,8,57,73,0,0,0,0,0,0,42,0,0,75,0,0,0,0,0,804701,0,0,0,0,4331,0,0,0,0,0,879,0,0,0,0,79,0,0,0,0,0,0,0,0,0,2572,0,0,0,0,0,0,0,0,0,147780
27,0,566,501,0,0,35231,245,873794,10110,8745,25010,0,255,3863,4793,160,523,37,0,0,850,0,249,38361,0,0,0,2486,0,0,2058,0,71619,0,401,0,0,261080,74656,45506,0,0,0,12340,0,0,13865,0,0,0,0,12,13513,15052,22075,4337,0,0,0,0,0,0,13000,0,0,2455,0,0,102,0,0,0,27485,0,202,0,0,7689,0,108,1484,0,0,1344,0,0,0,11530,0,0,0,0,0,31216,252193,1865,20981,0,4561,325,0,0,9844,0,1082,0,0,1139,9932,0,0,0,0,0,0,8976,0,0,0,6222,1327,0,0,0,0,0,2015,76491,0,33,0,220,0,10146,0,0,2855,1539,0,5253,0,11413,2451,0,25251,0,0,0,362,0,0,18603,0,134985,64573,1594,20000,0,0,0,0,4169,23522,207,0,0,0,0,1824,0,1500,0,0,123,0,10135,0,0,0,35649,226111,0,0,7488,1065,0,0,3368,4182,0,666,16805,822,0,0,1761,2602,28861,22,0,0,0,1845,0,178734,769232,300791,0,0,58539,0,0,0,0,0,1045
28,0,13210,0,0,0,364,0,0,3780,0,1011,0,1193,81,1791,64,96,173,0,0,0,0,13,0,0,0,0,0,0,0,322,0,3646,0,14,0,0,529,15856,196,0,0,0,0,0,0,1940,10675,0,0,0,0,536,221,18457,0,0,0,0,0,0,0,0,0,0,0,0,0,8547,0,0,0,623476,0,9,0,0,212,0,26,0,0,0,430,0,76000,0,2224,0,0,0,0,0,8620,0,0,2742,0,2755,1486,0,0,6171,0,4177,0,0,3233,1537,0,0,0,0,0,0,841,0,0,0,1919,965,0,4495,0,0,0,629,0,0,46,0,103,0,2684,0,0,0,328,0,0,0,418,121,0,29615,0,0,0,252,0,0,0,0,18,0,0,95000,0,0,0,0,1114082,41053,507,0,0,0,0,4792,0,223,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,4919,0,29,200,0,0,0,0,49,6965,1509618,2,0,0,0,24588,0,0,23771,0,0,0,445,0,0,0,147,0,0
29,0,0,0,0,0,81,0,0,0,0,0,0,4,0,18,0,0,0,0,0,10600,0,0,0,0,0,0,0,0,0,0,0,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,3,0,0,56,0,72,0,0,0,372,0,0,0,0,0,0,0,0,0,0,170,1,0,0,0,0,0,0,0,0,0,0,0,0,1936,0,0,0,0,0,0,0,23,0,0,66713,0,0,0,5,0,0,0,0,1,0,0,43,0,0,0,0,42,30,503,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,58,0,0,0,0,37,0,4,2,1,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,793,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,338,0,0,0,0,0,71,0,0,0,0,0,0,0,0,15,0,26,0,0,0,13,0,0,0,0,0,0,53,0,0,0,1246,0,0,0,0,0,0,43,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,1,0,0,10,0,0,0,0,11,117,74686,0,0,0,0,0,0,10,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11721,0,0,0,0,1,0,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,9,0,0,0,0,4300,0,15,1,422,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,571,0,1,0,0,4,18548,4,0,0,0,0,0,0,27,0,0,0,0,0,0,7,70,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1596,1959,0,0,0,0,31,0,0,2701,0,0,12,0,0,6895,0,55,0,5482,0,6,0,0,0,0,0,0,4574,0,0,0,35464,7,0,0,0,0,0,11,0,0,0,0,45,0,12,0,0,0,535,0,0,0,483,0,0,0,0,0,0,80,0,0,0,0,1,0,1834,56,0,0,0,0,9,1101,0,0,0,0,0,68,0,13,0,0,0,0,27491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,85790,0,0,0,3,0,0,0,0,0,0,0,0,0,2664,0,0,0,0,129700,0,0,0,0,0
32,0,0,0,0,0,658,0,0,60,0,45,0,42,9,70,32,7,0,0,0,7244,0,0,0,0,0,0,0,0,0,340,0,1451,0,0,2895,0,0,6265,24,0,0,0,0,0,0,0,0,0,0,0,0,0,41,997,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,1,0,0,0,0,100,145,0,0,5,0,0,0,467,0,0,0,0,0,289,0,0,0,0,0,0,0,0,310,0,140,0,0,0,276,0,0,0,0,0,0,672,0,0,0,523,12,0,0,0,0,0,148,0,0,0,0,20,0,3591,0,0,0,0,0,0,0,42,6,0,223984,0,0,0,47,0,0,0,0,11,0,0,465,0,0,0,0,279,718,828,0,0,0,0,0,90,108,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,739,0,0,0,0,4,0,0,0,0,0,0,254,0,0,5222,0,0,0,0,0,0,0,0,0,0
33,0,9511,3919,0,0,2978,13189,0,32110,32530,124637,0,2356,114960,61529,10573,57398,115,0,17695,652,27207,852,0,0,4891,62681,14228,0,0,36891,16649,0,0,18544,209,0,48334,534712,27632,0,0,0,109854,0,0,818246,5512,0,0,0,3346,639796,22839,85052,32050,0,229,0,8574,0,17871,21000,896000,0,7271,0,392,1276,0,0,0,158447,0,7100,0,773,36079,0,798,110,21470,19963,18606,281900,0,10580,222364,45408,0,0,103000,0,68860,425998,236193,168307,0,19422,5127,0,41,104022,0,36867,1597,14695,6064,66780,1767,0,0,0,0,0,82261,0,0,0,77664,2966,0,0,64,3349,0,3188,1135001,471,33,0,2645,395,56231,0,2034,5490,8132,0,10278,1592,53267,20233,1252,21550,295,0,0,39875,0,0,44171,1745,2239,51975,102381,80000,0,0,0,956,39989,62004,6480,7805,26279,6882,428,4014,0,46568,0,0,601,0,111067,0,0,0,56904,151467,9745,0,1193,3359,0,0,20236,0,190,16482,180900,470,0,354,54205,17109,81912,139,0,12,9186,28855,0,856652,18915000,9976,0,0,25870,86800,8675,0,3301,9183,5480
34,0,0,0,0,0,2049,0,0,0,0,4,0,0,1,4,0,0,0,0,0,440,0,0,0,0,0,4781,0,0,0,0,0,45,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,37,1498,0,0,0,0,0,0,23,0,0,0,0,0,23,0,0,0,0,0,0,0,0,26,0,1,0,0,0,1,0,0,0,0,0,0,177,0,0,0,103,2,0,0,0,0,0,48,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0,5,0,0,116,0,0,0,0,117,280,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,1,0,0,0,0,0,0,1157,0,0,2180,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,123,0,0,0,319,0,1,2279,0,0,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5958,0,0,0,0,0,0,197,0,0,0,0,0,0,461,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,961,0,0,0,0,0,0,0,0,0,4,0,20287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731,0,0,0,0,0,0,0,0,0,51078,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,44,0,0,0,0,3,0,1,1,4,0,0,0,0,0,1445,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,256,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,255,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,18,12,0,0,0,0,0,0,59,0,0,0,0,0,40,0,0,0,0,0,0,0,0,10,0,32,0,0,0,96,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,3,0,0,0,0,8,0,393,0,0,0,0,0,0,0,0,4,0,15349,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,31,18,153,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,3,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,56,0,0,0,0,31,0,0,2,161,15,0,0,0,0,1481,0,0,0,0,0,0,0,0,0,0,0,114,0,1,1275,0,0,624,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2199,0,0,0,0,4794,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,20,0,0,0,0,0,0,105,0,0,0,0,0,28,0,0,0,0,122,2,0,0,8,0,1471,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2946,1,0,0,0,0,0,3,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,178100,0,0,0,34,0,0,0,0,0,0,0,6,0,0,0,0,4,132,139,0,0,0,0,0,0,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,5,0,0,0,0,0,0,131,0,0,275,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,469,0,940496,190,1689,10268,0,35,537,190,5,139,16,0,0,10,0,15,0,0,0,240087,0,0,0,1639,0,14336,0,71,0,0,0,13014,29716,0,0,0,9350,0,0,18895,0,0,0,0,0,28541,24212,4519,2872,0,0,0,0,0,0,0,0,0,1585,0,0,10,0,0,0,0,0,31,0,0,6532,0,0,0,0,0,1634,0,0,0,2916,0,0,0,0,0,5514,39219,812,2764,0,105,79,0,0,1842,0,84,0,0,546,695,0,0,0,0,0,0,1065,0,0,0,2216,60,0,0,0,0,0,153,59634,0,0,0,105,0,2846,0,0,0,276,0,0,0,4839,1578,0,12150,0,0,0,203,0,0,15880,46,9517,452705,0,2527,0,0,0,0,784,3126,36,0,0,0,0,113,0,57,0,0,0,0,2019,0,0,0,3269,69600,0,0,0,0,0,0,0,0,0,309,0,0,0,0,326,0,5631,1,0,0,0,264,0,19688,130813,39236,0,0,15424,0,0,0,0,0,0
39,0,1267,0,0,0,43035,0,0,8100,0,356428,0,7138,265,13193,11825,399,376,0,0,1073,0,1069,0,0,1797,39514,6207,0,0,129626,0,159927,0,71,292,0,6738,0,3296,0,0,0,2992,0,0,11252,722,0,0,0,147,491,14287,67714,1714,0,468,0,13791,0,0,66000,778000,0,388,0,0,1771,0,0,0,5941,0,0,0,1951,635,0,1874,1488,0,0,1489,9379700,0,5760,98093,354641,0,0,0,0,8923,158226,935,1000416,0,13007,172083,0,0,1167891,0,9546,21921,105852,5973,2472,1136,0,0,0,0,0,11613064,0,0,0,943787,41511,0,0,93,0,0,8425,0,1974,19,0,196832,0,4665,0,30792,3661,35166,0,0,143,112398,220,0,72984,26407,0,0,30078,439,0,0,5424,146,8043,163689,20000,0,0,0,250,26182,815469,2507,0,0,0,720,9665,0,55352,0,0,843,0,1053659,0,0,0,40320,0,10015,0,1737,2738,0,0,6336,329204,1522,8982,826660,976,0,387,1936,2748,57472,104,0,20,6088,16574,0,107860,492958,0,0,0,8733,643300,0,0,4695,0,0
40,0,35,0,0,0,548,136,0,0,13439,5799,0,364,809,3529,38,377,6,0,0,20,0,5,0,0,0,96846,0,0,0,785,0,17397,0,543,0,0,47300,21186,0,0,0,0,33644,0,0,22178,0,0,0,0,26,31137,200487,9521,6661,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,70,0,0,16289,0,30,209,0,0,3114,0,0,0,2762,0,0,0,0,0,9027,15812,1045,3181,0,1660,271,0,0,1840,0,440,0,0,255,1155,0,0,0,0,0,0,1742,0,0,0,1482,95,0,0,0,0,0,64,67378,0,1,0,28,0,1506,0,0,0,501,0,5699,0,843,3227,0,10083,0,0,0,110,0,0,213776,0,2348,76559,511,1667,0,0,0,0,687,3402,103,0,0,0,0,100,0,163,0,0,0,0,2673,0,0,0,0,0,0,0,223,0,0,0,0,0,2,444,0,0,0,0,2305,0,3511,0,0,0,0,151,0,6248,419268,0,0,0,77417,0,0,0,0,0,0
41,0,0,0,0,0,6,0,0,0,0,19,0,2,1,14,0,0,0,0,0,72,0,0,0,0,10,0,0,0,0,0,0,39,0,2,0,0,0,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,92,0,0,0,15,0,0,0,0,0,0,0,0,803,0,1792,3,0,0,0,0,0,655,0,0,0,0,0,0,242,0,0,0,0,0,0,0,24,0,0,0,0,0,0,11,0,0,0,0,0,0,0,6,0,0,0,610,3,30,53,0,0,0,0,0,0,65,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,954,0,0,0,0,254,0,12,10,38,1,4,1,0,0,12468,0,0,0,0,0,0,0,0,0,0,0,123,0,0,1107,0,0,4528,35,0,0,666,0,0,0,0,0,0,0,0,0,0,15,928,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,194,45,0,0,1,0,0,0,670,0,0,0,0,0,566,0,0,0,0,0,15,0,0,100,0,1,0,0,273,280,0,0,0,0,0,0,398,0,0,0,294,7,0,0,0,0,0,150,0,0,0,0,15,0,5799,0,0,0,0,0,0,0,0,2,0,16226,0,0,0,24,0,0,0,0,6,0,0,405,0,0,0,0,228,522,132,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,1,0,0,0,0,0,0,191,0,0,1587,0,0,0,0,0,0,0,0,0,0
43,0,56,0,0,0,1108,0,0,0,0,36,0,10,0,1,0,0,0,0,0,370,0,0,0,0,910,0,0,0,0,0,0,1039,0,0,795,0,18,6484,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,52,0,0,0,0,0,0,0,0,0,0,1315,0,0,0,3356,0,0,0,0,0,0,13,0,0,0,0,0,0,1099,0,0,0,0,0,0,0,0,0,0,16128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33,280297,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,31685,0,0,0,0,0,0,0,0,0,0,7638,0,0,0,0,1,0,0,0,0,0,12495,0,0,0,888,0,0,0,0,0,0,0,0,0,20037
44,0,0,0,0,0,11,0,0,0,0,458,0,6,401,124,24,195,0,0,0,0,0,1,0,0,0,10548,0,0,0,0,0,4782,0,112,0,0,4636,4568,21179,0,0,0,0,0,0,8449,0,0,0,0,0,8717,4045,1279,27668,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,159,0,0,41545,0,0,0,0,0,25157,0,0,0,537,0,0,0,0,0,2282,7479,812,0,0,0,8,0,0,336,0,10,0,0,0,76,0,0,0,0,0,0,963,0,0,0,715,6,0,0,0,0,0,10,44580,0,0,0,7,0,236,0,0,0,541,0,0,0,199,70733,0,678,0,0,0,15,0,0,65438,0,305,7630,0,568,0,0,0,0,224,691,27,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,820,0,0,0,0,0,0,0,0,0,165257,0,0,0,3426,0,0,0,0,0,0
45,0,0,0,0,0,230,0,0,0,0,55,0,24,12,61,10,0,0,0,0,12940,0,0,0,0,0,0,0,0,0,0,0,1181,0,4,1024,0,0,2570,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,1103,93,0,0,3,0,0,0,348,0,0,0,0,0,1433,0,0,0,0,0,7,0,0,253,0,158,0,0,0,2358,0,0,0,0,0,0,458,0,0,0,147,8,0,0,0,0,0,168,0,0,0,0,2,0,9158,0,0,0,0,0,0,0,0,0,0,106394,0,0,0,0,0,0,0,0,3,0,0,142,0,0,0,0,140,274,498,0,0,0,0,0,0,90,10182,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4922,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2583,0,0,0,0,0,0,0,0,0,0
46,0,10237,0,0,0,1103,0,0,50,0,3296,0,519,98,822,6,101,227,0,0,0,0,8,0,0,0,0,26036,0,0,355,0,4084,0,13,0,0,778,18449,262,0,0,0,0,0,0,1817,0,0,0,0,0,0,246,10018,8,0,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,133,0,0,0,0,0,36,0,41000,0,3095,0,0,0,0,0,5973,153794,0,1700,0,1355,785,0,0,6455,0,481,0,0,3713,517,0,0,0,0,0,0,0,0,0,0,2056,641,0,0,0,0,0,267,0,0,47,0,73,0,1299,0,0,0,374,0,0,0,283,82,0,566,0,0,0,153,0,0,0,0,21,0,0,35000,0,0,0,0,27398,13399,134,0,0,0,0,5547,0,379,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,242,0,0,0,0,77,0,30252,0,0,0,0,4078,0,34767,17270,0,0,0,268,0,0,0,0,0,0
47,0,0,0,0,0,2754,277,0,50,0,90,0,26,252,27,1,209,2,0,0,97,0,1,0,0,0,6268,322,0,0,0,0,5860,0,428,0,0,1446,3632,4136,0,0,0,5888,0,0,0,0,0,0,0,105,3876,10904,760,519,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,143,0,0,2769,0,24,309,0,0,838,0,0,0,283,0,0,0,0,0,177,0,839,0,0,0,179,0,0,227,0,39,0,0,0,204,0,0,0,0,0,0,89,0,0,0,602,25,0,0,0,0,0,25,47825,0,0,0,24,0,263,0,0,0,0,0,0,0,25,2091,0,4323,0,0,0,23,0,0,4877,0,396,3285,0,889,0,0,0,0,396,4386,0,0,0,0,0,25,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,292,0,0,369,0,0,0,0,0,0,679,0,0,22395,0,0,0,12175,0,0,0,0,0,0
48,0,1140,0,0,0,0,0,0,1250,0,1933,0,181,115,3236,21,86,206,0,0,0,0,6,0,0,0,0,24324,0,0,0,0,2002,0,15,0,0,69,2926,53,0,0,0,0,0,0,537,0,0,0,0,0,0,28,11215,0,0,0,0,0,0,0,1000,0,0,0,0,0,267,0,0,0,474941,0,4,0,0,18,0,0,0,0,0,6,0,0,0,810,0,0,0,0,0,11906,0,0,0,0,1879,54,0,0,241,0,368,0,0,509,7181,0,0,0,0,0,0,258,0,0,0,794,359,0,4704,0,0,0,436,0,0,13,0,15,0,348,0,0,0,0,0,0,0,369,9,0,5956,0,0,0,132,0,0,0,0,15,0,0,1441,0,0,0,0,11463,15846,0,0,0,0,0,77,0,585,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,8658,0,0,113,0,0,0,0,14,0,9127,0,0,0,0,4061,0,138817,11517,0,0,0,0,0,0,0,0,0,0
49,0,7029,0,0,0,191,0,0,1540,0,6551,0,784,197,1457,97,288,464,0,0,0,0,65,0,0,772,7162,167738,0,0,2147,0,15599,0,126,0,0,2666,17345,681,0,0,0,1579,0,0,11214,20027,0,0,0,0,4726,892,268189,2994,0,0,0,0,0,0,21000,0,0,0,0,106,1947,0,0,0,267596,0,115,0,0,1047,0,17,6,0,0,269,0,230000,0,8549,0,0,0,45000,0,16385,802406,680,5792,0,3798,1874,0,0,6455,0,886,734,0,32056,1724,0,0,0,0,0,0,1625,0,0,0,6314,3811,0,7381,0,0,0,4166,0,0,140,0,932,0,4708,0,0,0,1738,0,0,0,3386,435,0,23965,0,0,0,761,0,0,0,0,156,3624,0,7820000,0,0,0,0,135368,44720,84,0,0,0,0,14191,0,641,0,0,1409,0,5391,0,0,0,5705,0,0,0,0,0,0,0,4348,0,83,1548,0,0,0,0,104,125573,151312,15,0,0,505,43959,0,434929,56772,0,0,0,4496,0,0,0,0,0,0
