Location,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216
11,0,7523,585,0,0,1120,0,0,4200,0,0,0,1276,2778,35874,7902,2102,68,0,0,14,409,1524,0,0,11303,37034,14294,0,0,84957,0,238802,0,922,0,0,39013,571534,5039,0,0,0,0,0,0,7226,11506,0,0,0,80,1874,7902,66653,1584,0,165,0,3120,0,247608,51000,0,0,10228,0,0,641,0,0,0,136086,0,411,0,2437,5664,0,309,0,0,0,1331,509900,63000,0,146209,418899,0,0,134000,0,26443,518897,2439,242031,0,21311,2947,0,868,96138,0,14915,1504,28180,4719,40884,1813,0,0,0,0,0,139806,0,0,0,427076,9368,0,0,203,0,0,18852,0,2593,6,0,4466,0,21467,0,5374,6117,13846,0,0,15487,976200,1944,0,5127,2125,0,0,12227,711,0,3471,58724,353,28542,121514,45000,0,0,0,1569,12927,37574,2159,0,0,0,22643,2884,0,17511,0,0,697,0,779776,0,0,0,100133,0,19145,0,0,3142,0,0,13896,58199,152,10941,694473,8948,0,11431,910,2518,99632,142,0,205,5342,5277,0,955487,689927,5958,0,53251,4546,234700,0,0,1147,14517,13866
12,0,12292,1095,0,0,141,301,0,5120,325,17083,0,1392,1657,7053,662,529,586,0,0,295,171,472,0,0,1456,26506,157027,0,0,7276,0,33032,0,235,0,0,7411,56273,2540,0,0,0,6124,0,0,13450,26620,0,0,0,137,9642,2571,208547,199,0,0,0,1473,0,1065,50000,747000,0,998,0,409,2614,0,0,0,354748,0,520,0,0,2912,0,18,12,0,0,727,18600,918000,0,25900,16855,0,0,51000,0,23822,3098816,2252,13453,0,5505,3245,0,0,7621,0,1814,765,2843,15695,3235,0,0,3285,0,0,0,4310,0,0,0,14231,13462,0,19825,0,0,0,8974,0,0,115,0,1219,0,15901,0,1212,6664,3540,0,350,0,6747,1086,0,8836,0,27000,0,2383,0,0,0,0,591,6025,10120,320000,0,0,0,0,210143,68370,441,0,239,0,0,23867,0,23964,0,0,3070,0,19228,0,0,0,20904,546060,2684,0,0,0,0,0,6494,5161,124,3445,80561,0,0,0,469,72866,491800,140,0,0,1331,30044,0,285664,158764,1994,0,0,3079,0,0,0,561,0,3247
13,0,0,0,0,0,155,0,0,0,0,185,0,0,4,455,21,6,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,9,17453,42,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2480,0,0,0,0,0,0,0,0,0,0,0,0,0,344936,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,8908,2949,0,739,0,0,2874,0,0,0,0,0,42109,0,0,488,0,202,1237,0,295,114,0,0,0,0,0,0,282,0,0,0,641,169,0,0,0,0,0,73,0,0,37,0,147,0,201,0,0,0,0,0,0,0,116,0,0,0,0,0,0,475,0,0,0,0,3,0,0,4093,0,0,0,0,2682,989529,0,0,0,0,0,0,0,66467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2117,0,349,13,0,0,0,0,9,0,465535,0,0,0,0,80350,0,0,3246,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,1,262,0,0,0,148,0,1,0,1,0,1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9446,0,732,0,0,89,651,192,0,0,0,0,0,0,3826,0,0,0,0,94,0,29,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,119,0,0,0,0,0,0,0,0,29,0,0,0,169,0,0,0,0,0,141,0,4378,0,0,0,0,0,0,47,0,9,0,0,0,1,0,0,0,0,0,0,71,0,0,0,1027,6,0,0,0,0,0,1,0,0,0,0,0,0,23,0,0,0,159,0,0,0,91,32,0,0,0,0,0,0,0,0,991,0,24,0,0,8,0,0,0,0,0,21028,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1328,0,0,0,0,0,0,0,0,0,180914,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,2142,0,78,52,0,78,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1454,0,2,0,0,6,3959,6,0,0,0,0,0,0,15,2790,0,0,0,0,0,14,21035,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7224,891,0,2959,0,0,3,0,0,0,0,48403,56,0,0,202,0,112910,0,0,0,17424,0,0,0,0,0,0,147,0,0,0,7822,435,0,0,0,0,0,102,0,0,0,0,2,0,2781,0,0,0,232,0,0,0,546,1,0,0,0,0,0,3579,0,0,0,0,0,0,2928,53,0,0,0,0,60,301,0,0,0,0,0,0,0,594188,0,0,239,0,2066,0,0,0,0,0,0,0,0,0,0,0,65808,0,0,38,0,0,0,0,12,944,7933,0,0,0,0,353,0,0,7517,0,0,0,0,0,0,0,2307,0,0
16,0,14,0,0,0,103,0,0,150,0,4230,0,294,12,98922,0,33,1,0,0,0,0,1,0,0,120,0,120,0,0,708,0,4213,0,2,0,0,52,31352,41,0,0,0,0,0,0,69,0,0,0,0,0,0,107,3844,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,541884,6155,0,0,0,0,41,0,0,6168,0,6118,213,0,0,7202,0,93585,0,0,235,9430,0,0,0,0,0,0,2652,0,0,0,49184,455,0,0,0,0,0,286,0,0,0,0,65,0,384,0,1001,0,20067,0,0,0,236,12,0,920,0,0,0,12230,0,0,0,0,44,0,1924,661,0,0,0,0,998,1395,148,0,0,0,0,379,0,34187,0,0,24,0,95150,0,0,0,0,0,1438,0,0,0,0,0,0,0,0,479,46682,434,0,0,70,0,3659,0,0,0,0,211,0,21550,8741,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,4455,0,0,0,96,0,6,1129,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11192,0,541,0,0,87,0,151,0,0,0,0,0,0,337,0,0,0,0,1956,0,50,82,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4791,0,0,0,0,0,0,0,0,13,0,0,0,290,0,0,0,0,0,233,0,6107,0,0,0,0,0,0,34,0,17,0,0,0,14,0,0,0,0,0,0,20,0,0,0,580,8,0,0,0,1337,0,10,0,0,0,0,2,0,14,0,0,0,0,0,754,0,102,24,0,3806,0,0,0,0,0,0,826,0,7,0,0,54,0,0,0,0,0,447,7,0,10935,8993,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,19350,0,0,0,0,0,0,0,0,0,54891,0,0,0,671,0,1038,0,0,0,0
18,0,0,0,0,0,127,0,0,0,0,210,0,4660,13,633,0,28,0,0,0,0,0,2,0,0,0,0,28034,0,0,0,0,1543,0,2,0,0,93,8701,41,0,0,0,0,0,0,0,2125,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,0,0,0,0,0,0,0,0,17,0,56,0,0,0,0,0,0,0,2155,0,0,0,0,0,11838,0,0,0,0,0,16457,0,0,862,0,604,938,0,111528,1572,0,0,0,0,0,0,0,0,0,0,690,0,0,0,0,0,0,138,0,0,145,0,237,0,1226,0,0,0,0,0,0,0,22,0,0,0,0,0,0,116,0,0,0,0,3,5297,0,2130000,0,0,0,0,37190,255143,44,0,0,0,0,2267,0,77,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,98,0,0,0,0,7,0,151063,1,0,0,0,3407064,0,0,5762,0,0,0,0,0,0,0,0,0,0
19,0,8197,6051,0,0,1654,313,0,4680,2016,13762,0,1980,1752,7582,1195,763,239,0,0,1910,0,432,0,0,0,31940,93269,0,0,13179,16853,49798,0,162,476,0,9569,61398,3433,0,0,4159,8368,0,0,15681,26368,0,0,0,173,43176,4851,209007,822,0,0,0,2805,0,348,57000,0,0,2025,0,3192,1309,0,0,0,420748,0,175,0,0,5476,0,685,29,0,0,1693,23100,0,0,36277,22854,0,0,85000,0,23419,1104889,6187,15773,0,11078,1653,0,0,6913,0,1745,775,4908,21548,10924,0,0,2382,0,0,0,4620,0,0,0,15618,3368,0,29619,0,0,0,11796,36202,0,16,0,1005,10,173004,0,1386,4909,4648,0,3939,0,4935,1519,0,14335,0,40000,0,3648,0,0,0,0,613,7775,9143,110000,0,0,0,3779,43878,36472,11161,0,209,222,0,22913,0,8414,17271,0,2225,0,20522,0,0,0,42276,1636636,2394,0,985,5573,0,0,6818,4166,135,7229,76132,0,0,0,487,169061,565074,58,0,0,4422,12913,0,970262,265383,2353,0,0,3708,17000,0,0,418,0,0
20,0,0,0,0,0,0,75,0,0,0,0,0,5,120,103,0,574,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1048,0,105,0,0,63,4002,0,0,0,0,928,0,0,478,0,0,0,0,25,0,64,0,2342,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,31803,0,0,0,0,0,2303,0,0,0,349,0,0,0,0,0,0,0,582,0,0,0,0,0,0,80,0,151,0,0,0,176,0,0,0,0,0,0,0,0,0,0,287,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1454,0,15,0,0,19,0,0,0,0,10,1954,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
